------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is </home/qrng/doktmeres/aproxerr/m1000_ext_10M/extbits_xor2.out>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 78  95  95 109 101 109 120 119 106  92  0.098758   1013/1024	 Frequency
 95 109 107 111 101 103 104  97  96 101  0.976060   1008/1024	 NonOverlappingTemplate
121  89 118 111  95  98  88 111  98  95  0.187063   1011/1024	 NonOverlappingTemplate
109  90 107  97  97 108  95 103 101 117  0.770860   1011/1024	 NonOverlappingTemplate
101  95  95  93  94  99 118 101 109 119  0.502866   1012/1024	 NonOverlappingTemplate
111 101  81  98 112 117 101  94 115  94  0.249783   1022/1024	 NonOverlappingTemplate
108 105 101 107 104 101 103 114  99  82  0.722135   1011/1024	 NonOverlappingTemplate
100 108 110  92 105 103 114  86 100 106  0.718152   1014/1024	 NonOverlappingTemplate
107  98  75  98 103 119 104 108 111 101  0.228064   1015/1024	 NonOverlappingTemplate
103 106  94  89 108 111 107  95 114  97  0.741879   1013/1024	 NonOverlappingTemplate
101  88  95 101 122  97  99 105 113 103  0.538103   1019/1024	 NonOverlappingTemplate
115 103 102 103  97 103 111 113  78  99  0.379806   1012/1024	 NonOverlappingTemplate
 84  93 121 104 101 115  93  98 102 113  0.252290   1011/1024	 NonOverlappingTemplate
 92 123 106 121  84 100 101  97  97 103  0.175426   1012/1024	 NonOverlappingTemplate
106  94 100 113  96  98 110  92 120  95  0.556020   1009/1024	 NonOverlappingTemplate
101 105 108 112 107  92 103  99  96 101  0.959447   1015/1024	 NonOverlappingTemplate
102 112  98  99  96  88 106  98 129  96  0.254816   1015/1024	 NonOverlappingTemplate
116  88  96 102  90 113 122 107  97  93  0.213309   1011/1024	 NonOverlappingTemplate
 99 104 121  83 115  97 103 104  99  99  0.407091   1015/1024	 NonOverlappingTemplate
114  91 107 108 102  92 108 106  98  98  0.834308   1006/1024	 NonOverlappingTemplate
104 100  80  98 105 102 115 107 100 113  0.514514   1015/1024	 NonOverlappingTemplate
119  86 102 106 107 103  98 104 102  97  0.720145   1010/1024	 NonOverlappingTemplate
129  98 107  97 104  94  97  92  96 110  0.299251   1017/1024	 NonOverlappingTemplate
112 114 100 100 119 111  94  89  91  94  0.334846   1007/1024	 NonOverlappingTemplate
107  90  92  89 117 110  99 108 104 108  0.538103   1015/1024	 NonOverlappingTemplate
 98 115 111 102 101  99 106  77 104 111  0.364960   1018/1024	 NonOverlappingTemplate
 93  90  95  94 101  98 125 105 115 108  0.292183   1015/1024	 NonOverlappingTemplate
101 112  78  97 123 103  98 120 104  88  0.056969   1014/1024	 NonOverlappingTemplate
103 109 113  96  96  92  97 105 105 108  0.902149   1014/1024	 NonOverlappingTemplate
100 109 101 106 107 120  86  98  97 100  0.630995   1016/1024	 NonOverlappingTemplate
107 105 108 100  94 104 115  89 103  99  0.851055   1011/1024	 NonOverlappingTemplate
 89 111 112  97  97 100  77 106 110 125  0.065663   1010/1024	 NonOverlappingTemplate
123  99 104 110 108  93 107  99  95  86  0.388211   1011/1024	 NonOverlappingTemplate
111 105 110 100 114 104  94  86 113  87  0.389906   1013/1024	 NonOverlappingTemplate
 84 104 114 109 107 105  96  99 110  96  0.651407   1015/1024	 NonOverlappingTemplate
106  88  96 109 102  99 107 108 103 106  0.926205   1019/1024	 NonOverlappingTemplate
 88  92 106  85 109 120 108 105 102 109  0.313747   1010/1024	 NonOverlappingTemplate
 96  92 113 118  88 113 107 102 101  94  0.435466   1014/1024	 NonOverlappingTemplate
 96 118 102  94  96  95 101  99 110 113  0.716158   1013/1024	 NonOverlappingTemplate
109  82  89  97 100 103 113 105 107 119  0.296409   1013/1024	 NonOverlappingTemplate
 83 110 102  91 111 121 104  92  98 112  0.222298   1015/1024	 NonOverlappingTemplate
103 105 104 115  99  97 105  97  92 107  0.930822   1005/1024	 NonOverlappingTemplate
100 104 103  98 113 117  88 108 102  91  0.626913   1008/1024	 NonOverlappingTemplate
110  97 110 116 112  97  98  82  98 104  0.444545   1008/1024	 NonOverlappingTemplate
100  89  94 124 114  89  97 107  99 111  0.242375   1009/1024	 NonOverlappingTemplate
103  80 101 107 110 103 111 105 120  84  0.168002   1013/1024	 NonOverlappingTemplate
 95 117 107 100 109  93 104 101  95 103  0.852690   1015/1024	 NonOverlappingTemplate
 94  96 105 101  99 110 110  88 124  97  0.407091   1011/1024	 NonOverlappingTemplate
 95 110 126  86 110 103  95 103  90 106  0.215529   1013/1024	 NonOverlappingTemplate
 95  76  99  97  96 108 115 107 116 115  0.136208   1014/1024	 NonOverlappingTemplate
 95 106 108 107 110 103  96  99  99 101  0.983163   1016/1024	 NonOverlappingTemplate
108  89  92 102 110 103 112 108  99 101  0.829151   1016/1024	 NonOverlappingTemplate
102  96  94 109 110 111  85  95 123  99  0.303549   1008/1024	 NonOverlappingTemplate
111 106 107  86 106 113 108  83 100 104  0.435466   1012/1024	 NonOverlappingTemplate
 95 112  98  98 107  99 104  87 118 106  0.635078   1016/1024	 NonOverlappingTemplate
100  98 104  99 111  90  91 108 111 112  0.755509   1017/1024	 NonOverlappingTemplate
106 113 109 126  90  91 109  88 113  79  0.026560   1010/1024	 NonOverlappingTemplate
108 107 102  91 105 100 103  97 100 111  0.964295   1015/1024	 NonOverlappingTemplate
106 106 100 113 109  98  87 117  77 111  0.140862   1016/1024	 NonOverlappingTemplate
 94  99  98  97  95 115 104  99 103 120  0.681931   1014/1024	 NonOverlappingTemplate
 91 104  97  99 120 115 106 112  91  89  0.321175   1012/1024	 NonOverlappingTemplate
117  97  92  91 109  94 102  93 113 116  0.381478   1014/1024	 NonOverlappingTemplate
 80 117 114  94  89 110 124  97 104  95  0.052203   1016/1024	 NonOverlappingTemplate
103 116 103 110 100 106  78  96 111 101  0.386521   1013/1024	 NonOverlappingTemplate
116 101  98  90 116  94 108  98  95 108  0.596361   1013/1024	 NonOverlappingTemplate
108 106 112  91 115 102  80 109 102  99  0.379806   1013/1024	 NonOverlappingTemplate
107 101  91 117 110  87  99 105 103 104  0.667711   1012/1024	 NonOverlappingTemplate
117 116 100 100 109  81  91  92 111 107  0.201421   1010/1024	 NonOverlappingTemplate
102 111 104 113  99  95 104  96  99 101  0.961104   1019/1024	 NonOverlappingTemplate
106 104 114 113  94 103  83 106  82 119  0.126572   1013/1024	 NonOverlappingTemplate
109 111 109 112  89 107  92  95 108  92  0.592301   1016/1024	 NonOverlappingTemplate
101  93 116 101 101 104  91  97 107 113  0.774656   1014/1024	 NonOverlappingTemplate
102 103 115 102 114  99  98  85  99 107  0.690030   1020/1024	 NonOverlappingTemplate
106  96 106 104 110 107 110  99 101  85  0.822183   1016/1024	 NonOverlappingTemplate
110  92 107  96  99  93  92 114 119 102  0.502866   1011/1024	 NonOverlappingTemplate
100  85 116 108  97  96 134  98 100  90  0.042917   1013/1024	 NonOverlappingTemplate
 93 110 124 104 104  83 107  86 111 102  0.148094   1011/1024	 NonOverlappingTemplate
107  96 100 100 111 103 103 106 100  98  0.993712   1014/1024	 NonOverlappingTemplate
105  98  99  98  90 109 114  88 117 106  0.526262   1012/1024	 NonOverlappingTemplate
100 104 118 118  92  99 102  88  96 107  0.466723   1012/1024	 NonOverlappingTemplate
116 104 105 109 106 100  98 101  93  92  0.862344   1011/1024	 NonOverlappingTemplate
 99  90  90 120 100 107 106 114 102  96  0.504800   1013/1024	 NonOverlappingTemplate
 81 101  94 110  88 103 119 118 102 108  0.153087   1016/1024	 NonOverlappingTemplate
116  97 117  92  93 109 111  99  97  93  0.479900   1017/1024	 NonOverlappingTemplate
120 106  90 100  99 116  83  93 113 104  0.194135   1009/1024	 NonOverlappingTemplate
109  98 107 117 113  94  94  95 102  95  0.690030   1010/1024	 NonOverlappingTemplate
 98 108 117 114  98 101  98  89 106  95  0.663639   1009/1024	 NonOverlappingTemplate
102 109 104 113 113 100  90  98  93 102  0.807953   1017/1024	 NonOverlappingTemplate
 94 104 111 114  97 104  93 102 106  99  0.898039   1014/1024	 NonOverlappingTemplate
100  86  96 104 101  98  99 122 111 107  0.518419   1018/1024	 NonOverlappingTemplate
104 107  98 100 109  98 109  94 102 103  0.987177   1014/1024	 NonOverlappingTemplate
 99 106  96 100  96 101 118  98 112  98  0.851055   1015/1024	 NonOverlappingTemplate
 91 111 111  78 102  88 111 108  99 125  0.052531   1010/1024	 NonOverlappingTemplate
107  96  96 118 118 107 109  81  96  96  0.229231   1010/1024	 NonOverlappingTemplate
112  96  83 109 110 109 112 107  96  90  0.396728   1010/1024	 NonOverlappingTemplate
105 102  97 106 107 114  90 104 113  86  0.606527   1016/1024	 NonOverlappingTemplate
112 105 114 105 112  87  92 103  99  95  0.604492   1014/1024	 NonOverlappingTemplate
104 110  98  96 106  97 112  90  96 115  0.741879   1016/1024	 NonOverlappingTemplate
114 113  96  96 107  96 101 106  97  98  0.877806   1011/1024	 NonOverlappingTemplate
 97 112  83  93  98 106 102 114 118 101  0.366591   1013/1024	 NonOverlappingTemplate
 93  90  94  95 100  98 127 104 115 108  0.231579   1015/1024	 NonOverlappingTemplate
 96 102  97 106 116 101 113  93  95 105  0.813334   1009/1024	 OverlappingTemplate
116  98 110 100  82 115  94 100 112  97  0.333308   1012/1024	 Universal
104  99 113  88 112 103 101  86 110 108  0.562029   1014/1024	 ApproximateEntropy
 71  68  50  62  69  67  67  67  63  77  0.667063    652/661 	 RandomExcursions
 71  68  58  61  62  69  56  93  64  59  0.077362    656/661 	 RandomExcursions
 63  66  76  76  67  57  68  57  69  62  0.732313    657/661 	 RandomExcursions
 75  59  70  61  74  75  70  53  70  54  0.349260    654/661 	 RandomExcursions
 60  62  49  72  73  70  64  84  74  53  0.085666    659/661 	 RandomExcursions
 65  56  55  72  67  64  65  75  77  65  0.629232    657/661 	 RandomExcursions
 67  50  74  81  58  74  59  74  63  61  0.189656    653/661 	 RandomExcursions
 75  59  73  65  70  50  73  62  61  73  0.441481    647/661 	 RandomExcursions
 63  63  71  64  69  66  68  75  56  66  0.932818    654/661 	 RandomExcursionsVariant
 72  60  75  61  69  59  58  64  71  72  0.785850    654/661 	 RandomExcursionsVariant
 68  74  64  57  60  64  63  63  71  77  0.797289    653/661 	 RandomExcursionsVariant
 66  68  67  62  60  83  57  60  75  63  0.496470    654/661 	 RandomExcursionsVariant
 68  59  63  75  64  61  59  80  66  66  0.707699    652/661 	 RandomExcursionsVariant
 66  62  62  73  67  64  67  67  71  62  0.992166    652/661 	 RandomExcursionsVariant
 68  55  62  78  67  69  66  74  63  59  0.707699    655/661 	 RandomExcursionsVariant
 67  63  66  73  63  61  75  62  65  66  0.968352    654/661 	 RandomExcursionsVariant
 69  69  67  55  68  68  55  62  66  82  0.514425    655/661 	 RandomExcursionsVariant
 61  67  79  47  49  75  74  77  66  66  0.051391    655/661 	 RandomExcursionsVariant
 68  61  59  63  65  62  69  64  68  82  0.768349    656/661 	 RandomExcursionsVariant
 70  50  67  61  58  61  76  75  72  71  0.389829    651/661 	 RandomExcursionsVariant
 64  50  71  58  74  79  74  70  50  71  0.112447    654/661 	 RandomExcursionsVariant
 68  59  62  58  67  74  68  86  59  60  0.318393    654/661 	 RandomExcursionsVariant
 66  61  72  57  64  70  72  69  64  66  0.955971    653/661 	 RandomExcursionsVariant
 66  63  62  68  61  61  74  73  66  67  0.967223    649/661 	 RandomExcursionsVariant
 73  63  49  58  75  70  67  74  61  71  0.397741    648/661 	 RandomExcursionsVariant
 74  49  57  66  57  83  71  73  68  63  0.141256    653/661 	 RandomExcursionsVariant
 94 110 103 102 110  98  84 113 105 105  0.679903   1016/1024	 Serial
 99 107  98 113 108  99 101 112  85 102  0.745791   1008/1024	 Serial
120 101  90  95  92 110  95  89 121 111  0.155636   1015/1024	 LinearComplexity


- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
The minimum pass rate for each statistical test with the exception of the
random excursion (variant) test is approximately = 1004 for a
sample size = 1024 binary sequences.

The minimum pass rate for the random excursion (variant) test
is approximately = 646 for a sample size = 661 binary sequences.

For further guidelines construct a probability table using the MAPLE program
provided in the addendum section of the documentation.
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
