------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <toep_new_bitsdissz08>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
116 101  94 102  92 102  84 114 109 110  0.415844   1013/1024	 Frequency
 61  71  69  56  72  76  61  71  65  70  0.817077    670/672 	 RandomExcursionsVariant
 60  69  61  59  72  69  67  74  70  71  0.922800    670/672 	 RandomExcursionsVariant
 63  57  59  60  87  71  64  60  85  66  0.081928    668/672 	 RandomExcursionsVariant
 58  63  58  65  76  67  83  67  69  66  0.552292    665/672 	 RandomExcursionsVariant
 58  63  56  72  69  82  61  63  82  66  0.262643    668/672 	 RandomExcursionsVariant
 51  71  61  65  65  63  76  75  74  71  0.525147    668/672 	 RandomExcursionsVariant
130  94  92  88 106 100  98 101 101 114  0.162606   1007/1024	 Serial
113 107  97 106  86 111  83  93 114 114  0.197232   1016/1024	 Serial
118 100  86 108  93 106 110 107  98  98  0.580152   1009/1024	 LinearComplexity


- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
The minimum pass rate for each statistical test with the exception of the
random excursion (variant) test is approximately = 1004 for a
sample size = 1024 binary sequences.

The minimum pass rate for the random excursion (variant) test
is approximately = 657 for a sample size = 672 binary sequences.

For further guidelines construct a probability table using the MAPLE program
provided in the addendum section of the documentation.
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
